
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
MACLEAN HUNTER LTD                                                              	NASDAQ	Dec-83	MCLNF
MACMILLAN BLOEDEL LTD                                                           	NASDAQ	Nov-99	MMBL
MACMILLAN INC                                                                   	NYSE	Dec-88	MLL
MACMILLAN RING FREE OIL INC                                                     	NASDAQ	Jun-88	MRFO
MacroChem Corporation                                                           	NASDAQ	Nov-05	MCHM
MACRODATA CORP                                                                  	NASDAQ	Mar-76	MDAT
MACRODYNE INDUSTRIES INC                                                        	AMEX	May-86	MCT
Macromedia, Inc.                                                                	NASDAQ	Dec-05	MACR
Macronix International Co.                                                      	NASDAQ	Jun-06	MXICD
MACROSE INDUSTRIES CORP                                                         	NASDAQ	Nov-87	MCOS
MACY R H & CO INC                                                               	NYSE	Jul-86	MZ
MADE2MANAGE SYS INC                                                             	NASDAQ	Aug-03	MTMS
MADGE NETWORKS NV                                                               	NASDAQ	Apr-03	MADGF
MADISON BANCSHARES GROUP LTD                                                    	NASDAQ	Mar-03	MADB
MADISON BANCSHARES INC                                                          	NASDAQ	Aug-04	MDBS
MADISON GROUP ASSOCIATES INC                                                    	NASDAQ	Jun-95	MADI
MADISON INDUSTRIES INC                                                          	NASDAQ	Oct-73	n/a
MADISON RES INC                                                                 	NYSE	Oct-85	MAD
MADISON SQUARE GARDEN CORP                                                      	NYSE	Aug-77	MSG
MADISON SQUARE GARDEN CORP OLD                                                  	NYSE	Mar-60	n/a
MAFCO CONSOLIDATED GROUP INC                                                    	NYSE	Jul-97	MFO
MAGELLAN HEALTH SERVICES INC                                                    	NYSE	Oct-02	MGL
MAGELLAN PETROLEUM CORP                                                         	AMEX	Jun-68	MPC
MAGIC CHEF INC DE                                                               	NYSE	May-86	MGC
MAGIC CIRCLE ENERGY CORP                                                        	NASDAQ	Mar-92	MCEN
Magic Lantern Group Inc                                                         	AMEX	Jun-05	GML
MAGIC MARKER CORP                                                               	NASDAQ	Jan-79	MAGM
MAGIC MARKER INDUSTRIES INC                                                     	NASDAQ	Oct-85	PENS
MAGIC RESTAURANTS INC                                                           	NASDAQ	Apr-95	MGIK
MAGIC YEARS CHILD & LRNG CTR INC                                                	NASDAQ	Apr-91	KIDS
MAGICWORKS ENTERTAINMENT INC                                                    	AMEX	Sep-98	MJK
MAGMA COPPER CO                                                                 	NYSE	May-69	MMX
MAGMA COPPER CO NEW                                                             	NYSE	Jan-96	MCU
MAGMA ENERGY INC                                                                	NASDAQ	Mar-88	MAGE
MAGMA POWER CO                                                                  	NASDAQ	Apr-82	MGMA
MAGMA POWER CO NEW                                                              	NASDAQ	Feb-95	MGMA
MAGNA BANCORP INC                                                               	NASDAQ	Oct-97	MGNL
MAGNA GROUP INC                                                                 	NYSE	Jun-98	MGR
MAGNA LAB INC                                                                   	NASDAQ	Apr-97	MAGLA
MAGNA OIL CORP                                                                  	AMEX	May-72	MGA
MAGNAVOX COMPANY                                                                	NYSE	Jul-75	MAG
MAGNET BANK FSB CHARLES WV                                                      	AMEX	Feb-88	MAG
MAGNETIC HEAD CORP                                                              	NASDAQ	Dec-86	MHED
MAGNETIC INFORMATION TECHNOLGY                                                  	NASDAQ	Mar-85	MITI
MAGNETIC METALS CO                                                              	NASDAQ	Jul-75	MMET
MAGNETIC TAPE ENGR CORP                                                         	NASDAQ	Apr-73	n/a
MAGNETIC TECHNOLOGIES CORP                                                      	NASDAQ	Dec-97	MTCC
MAGNETICS INTERNATIONAL INC                                                     	NASDAQ	Mar-86	MAGN
MAGNOLIA FOODS INC                                                              	NASDAQ	Aug-88	CAFE
Magnum Hunter Resources, Inc.                                                   	NYSE	Jun-05	MHR
MAGNUM SPORTS & ENTMNT INC                                                      	NASDAQ	Feb-02	MAGZ
MAGNUSON COMPUTER SYS INC                                                       	NASDAQ	Mar-83	MCSI
MAHONING COAL RR CO                                                             	NYSE	Aug-59	n/a
MAHONING NATIONAL BANCORP INC                                                   	NASDAQ	Sep-99	MGNB
MAIL BOXES ETC                                                                  	NASDAQ	Nov-97	MAIL
MAIN DOLLAR STORES INC                                                          	NASDAQ	Jun-74	MDLL
MAIN LINE FLEETS INC                                                            	NASDAQ	Jun-74	MLIN
MAIN STREET BANCORP                                                             	NASDAQ	Mar-02	MBNK
Main Street Banks, Inc.                                                         	NASDAQ	Jun-06	MSBK
Main Street Restaurant Group, Inc.                                              	NASDAQ	Jun-06	MAIN
MAINE NATIONAL CORP                                                             	NASDAQ	Dec-85	MNAC
MAINSPRING INC                                                                  	NASDAQ	Jun-01	MSPR
MAINSTREAM ENGINEERING INC                                                      	NASDAQ	Oct-82	MAIN
MAINSTREET FINANCIAL CORP                                                       	NASDAQ	Mar-99	MSBC
MAIONE COMPANIES INC                                                            	NASDAQ	Jul-89	MHCI
MAJESTIC ELECTRO INDS LTD                                                       	NASDAQ	Jan-84	MJEL
MAJESTIC SPECIALTIES INC                                                        	AMEX	Feb-65	MAJ
MAJOR AUTOMOTIVE COMPANIES INC                                                  	NASDAQ	Nov-04	MAJR
MAJOR EXPLORATION INC                                                           	NASDAQ	Sep-86	MAJX
MAJOR GROUP INC                                                                 	NYSE	Sep-92	MJR
MAJOR POOL EQUIP CORP                                                           	NASDAQ	Nov-73	n/a
MAJOR REALTY CORP                                                               	NASDAQ	Aug-98	MAJR
MAJOR VIDEO CORP                                                                	NASDAQ	Jan-89	MAJV
MAKER COMMUNICATIONS INC                                                        	NASDAQ	Mar-00	MAKR
MAKO MARINE INTERNATIONAL INC                                                   	NASDAQ	Jan-97	MAKO
MAKOVER INVESTMENT INC                                                          	NASDAQ	Nov-77	MAKO
MALAN REALTY INVESTORS INC                                                      	NYSE	Aug-04	MAL
MALARTIC HYGRADE GOLD MINES LTD                                                 	NASDAQ	May-83	MHGMF
MALIBU CAPITAL CORP                                                             	NASDAQ	Nov-87	COPC
MALIBU ENTNMT WORLDWIDE INC                                                     	AMEX	Jun-00	MBE
MALIBU GRAND PRIX CORP                                                          	NASDAQ	Apr-89	MGPC
MALLARD COACH INC                                                               	AMEX	May-92	MLD
MALLINCKRODT INC                                                                	NASDAQ	Mar-82	MALL
MALLINCKRODT INC NEW                                                            	NYSE	Oct-00	MKG
MALLINSON & CO INC                                                              	NYSE	Jun-35	n/a
MALLON MINERALS CORP                                                            	NASDAQ	Dec-88	MALN
MALLON RESOURCES CORP NEW                                                       	NASDAQ	Sep-02	MLRC
MALLORY P R & CO INC                                                            	NYSE	Jan-79	MRY
MALLORY RANDALL CORP                                                            	NASDAQ	Dec-81	MACO
MALONE & HYDE INC                                                               	NYSE	Jul-84	MHI
MALRITE COMMUNICATIONS GROUP                                                    	NASDAQ	Feb-89	MALA
MALRITE COMMUNICATIONS GROUP                                                    	NASDAQ	Feb-89	MALR
MAMMATECH CORP                                                                  	NASDAQ	Dec-85	MAMA
MAMMOTH MART INC                                                                	AMEX	Jul-77	MMI
MAMMOTH RESOURCES LTD                                                           	NASDAQ	Apr-86	MAMM
MANAGED HIGH YIELD FUND                                                         	NYSE	Jun-00	PHT
MANAGED MUNI PORTFOLIO II INC                                                   	NYSE	Apr-02	MTU
MANAGEMENT ASSISTANCE INC LIQ TR                                                	NASDAQ	Jul-92	MALTZ
MANAGEMENT COMPANY ENTMT GP INC                                                 	NASDAQ	Oct-90	MCEG
MANAGEMENT GRAPHICS INC                                                         	NASDAQ	Nov-90	MGGRF
MANAGEMENT SCIENCE AMER INC                                                     	NASDAQ	Jan-90	MSAI
MANAGEMENT SUPPORT TECHNOLOGY                                                   	NASDAQ	Jul-85	XTEC
MANAGEMENT TECHNOLOGIES INC                                                     	NASDAQ	Dec-97	MTCI
MANATI SUGAR CO                                                                 	NYSE	Jan-61	n/a
MANCHESTER LIFE & CAS MGMT                                                      	NASDAQ	Sep-77	MANL
Manchester Technologies, Inc.                                                   	NASDAQ	Aug-05	MANC
MANDALAY RESORT GROUP                                                           	NYSE	Apr-05	MBG
MANDEL BROS INC                                                                 	NYSE	Jul-60	n/a
MANGURIANS INC                                                                  	AMEX	Dec-70	MNG
MANHATTAN BAGEL INC                                                             	NASDAQ	Nov-98	BGLS
MANHATTAN BEACH CO                                                              	NYSE	Jan-26	n/a
MANHATTAN INDUSTRIES INC                                                        	NYSE	Apr-88	MHT
MANHATTAN LIFE INS CO                                                           	NASDAQ	Mar-74	MHTN
MANHATTAN NATIONAL CORP                                                         	NYSE	Dec-91	MLC
MANILA ELEC CORP                                                                	NYSE	Feb-28	n/a
MANLEY INDUSTRIES INC                                                           	NASDAQ	Oct-74	MNLY
MANN MANUFACTURING INC                                                          	NASDAQ	Feb-77	MANN
MANNING GAS & OIL CO                                                            	NASDAQ	Jul-77	n/a
MANNING MARTHA CO                                                               	NASDAQ	Jun-81	MTHA
MANNING MAXWELL & MOORE INC                                                     	NYSE	Dec-64	MXR
MANOR CARE INC                                                                  	NYSE	Sep-98	MNR
MANPOWER INC                                                                    	NYSE	Feb-76	MAN
MANPOWER INC NEW                                                                	NYSE	Sep-87	MN
MANSFIELD TIRE & RUBR CO                                                        	AMEX	Oct-77	MSF
MANUFACTURED HOMES INC                                                          	AMEX	Jun-90	MNH
MANUFACTURERS BANK LOS ANGELES                                                  	NASDAQ	Jun-81	MBLA
MANUFACTURERS HANOVER CORP                                                      	NYSE	Dec-91	MHC
MANUFACTURERS NATIONAL CORP                                                     	NASDAQ	Jun-92	MNTL
MANUFACTURERS SERVICES LTD                                                      	NYSE	Mar-04	MSV
MANUFACTURING DATA SYS INC                                                      	NASDAQ	Jan-81	MDSY
Manugistics Group, Inc.                                                         	NASDAQ	Jul-06	MANU
MANVILLE CORP                                                                   	NYSE	Nov-88	MAN
MAPCO INC                                                                       	NYSE	Mar-98	MDA
MAPI INC                                                                        	NASDAQ	Jun-81	MAPC
MAPICS Inc.                                                                     	NASDAQ	Apr-05	MAPX
MAPLE PRESS CO                                                                  	NASDAQ	Jan-75	MAPL
MAPQUEST COM INC                                                                	NASDAQ	Jun-00	MQST
MARACAIBO OIL EXPL CORP                                                         	NYSE	Mar-64	MAB
MARANCHA CORP                                                                   	NYSE	Aug-35	n/a
MARANTZ CO                                                                      	NYSE	Feb-87	MTZ
MARATHON CORP                                                                   	NYSE	Nov-57	n/a
MARATHON MANUFACTURING CO                                                       	NYSE	Dec-79	MTM
MARATHON MEDICAL EQUIPTMENT CORP                                                	NASDAQ	Aug-83	MDEQ
MARATHON OFFICE SUPPLY INC                                                      	AMEX	Jul-88	MAO
MARATHON OIL CO                                                                 	NYSE	Mar-82	MRO
MARBLE FINANCIAL CORP                                                           	NASDAQ	Jan-96	MRBL
MARCADE GROUP INC                                                               	NYSE	Nov-92	MAR
MARCAM SOLUTIONS                                                                	NASDAQ	Jul-99	MRCM
MARCHANT CALCULATORS INC                                                        	NYSE	Jun-58	n/a
MARCHFIRST INC                                                                  	NASDAQ	Apr-01	MRCH
MARCI INTERNATIONAL IMPORTS INC                                                 	NASDAQ	Mar-89	MRCI
Marconi Corporation                                                             	NASDAQ	Dec-05	MRCIY
MARCONI INTERNATIONAL MARINE LTD                                                	AMEX	Jun-68	MIM
MARCONI PLC                                                                     	NASDAQ	Jul-02	MONI
MARCOR INC                                                                      	NYSE	Jul-76	M
MARCUS HERMAN INC                                                               	NASDAQ	Jun-74	MARC
MAREMONT CORP                                                                   	NYSE	Jul-79	MAR
MAREX INC                                                                       	NASDAQ	Aug-02	MRXX
MARGARETTEN FINANCIAL CORP                                                      	NYSE	Jun-94	MRG
MARGATE INDUSTRIES INC                                                          	NASDAQ	May-02	CGUL
MARGAUX INC                                                                     	NASDAQ	Aug-90	MRGX
MARGOS LAMODE INC                                                               	NASDAQ	Jul-79	MRGO
MARIETTA CORP                                                                   	NASDAQ	Mar-96	MRTA
MARIFARMS INC                                                                   	NASDAQ	Oct-75	MARF
MARIMBA INC                                                                     	NASDAQ	Jul-04	MRBA
MARINA LIMITED PARTNERSHIP                                                      	NASDAQ	Dec-97	MRNCZ
MARINDUQUE MINING & INDL CORP                                                   	AMEX	Sep-84	MMU
MARINE BANCORP INC PA                                                           	NASDAQ	Jan-84	MBPA
MARINE COLLOIDS INC                                                             	NASDAQ	Nov-77	MCLL
MARINE CORP                                                                     	NASDAQ	Mar-88	MCRP
MARINE CORP IL                                                                  	NASDAQ	Dec-91	MCOR
MARINE DRILLING COS INC                                                         	NYSE	Sep-01	MRL
MARINE HARVEST INTERNATIONAL INC                                                	AMEX	Nov-94	MHI
MARINE MANAGEMENT SYSTEMS INC                                                   	NASDAQ	Oct-98	MMSY
MARINE MIDLAND BKS INC                                                          	NYSE	Dec-87	MM
MARINE NATIONAL BANK IRVINE CA                                                  	NASDAQ	Sep-96	MNBK
MARINE NUTRITIONAL SYS INC                                                      	NASDAQ	Mar-81	MNSY
MARINE PROTEIN CORP                                                             	NASDAQ	Nov-74	MPCO
MARINE TRANSPORT CORP                                                           	NASDAQ	Feb-01	MTLX
MARINE TRANSPORT LINES INC                                                      	NASDAQ	Nov-89	MTLI
MARINER HEALTH GROUP INC                                                        	NASDAQ	Jul-98	MRNR
MARINER POST ACUTE NETWORK INC                                                  	NYSE	Oct-99	MPN
MARINERS FINANCIAL CORP                                                         	AMEX	Nov-78	MFC
MARION CAPITAL HOLDINGS INC                                                     	NASDAQ	Dec-00	MARN
MARION CORP                                                                     	NASDAQ	Jan-85	MARN
MARION MERRELL DOW INC                                                          	NYSE	Jul-95	MKC
Marisa Christina, Incorporated                                                  	NASDAQ	Dec-04	MRSA
MARITEK CORP                                                                    	NASDAQ	Aug-92	MRTK
MARITIME FRUIT CARRIERS LTD                                                     	NASDAQ	Mar-76	n/a
MARK CONTROLS CORP                                                              	NYSE	Oct-87	MK
MARK CONTROLS CORP NEW                                                          	NASDAQ	Apr-94	MRCC
MARK IV INDUSTRIES INC                                                          	NYSE	Sep-00	IV
MARK PRODUCTS INC                                                               	AMEX	Feb-85	MKP
MARK SOLUTIONS INC                                                              	NASDAQ	Dec-00	MSOL
MARK TWAIN BANCSHARES INC                                                       	NYSE	Apr-97	MTB
MARK TWAIN MARINE INC                                                           	NASDAQ	Mar-74	MTWA
MARK VII INC                                                                    	NASDAQ	Sep-99	MVII
MARKER INTERNATIONAL                                                            	NASDAQ	Oct-98	MRKR
MARKET FACTS INC                                                                	NASDAQ	Jun-99	MFAC
MARKET FINANCIAL CORP                                                           	NASDAQ	Mar-01	MRKF
MARKET GUIDE INC                                                                	NASDAQ	Sep-99	MARG
MARKET STR RY CO                                                                	NYSE	Jul-38	n/a
MARKETING SPECIALISTS CORP                                                      	NASDAQ	Mar-01	MKSP
MARKETING SYSTEMS AMER INC                                                      	NASDAQ	Jun-92	MASY
MarketWatch Inc.                                                                	NASDAQ	Jan-05	MKTW
MARLENE INDUSTRIES CORP                                                         	AMEX	Nov-79	MLE
MARLEY COMPANY                                                                  	NYSE	May-81	MY
MARLIN OIL CO                                                                   	NASDAQ	Nov-85	MRLN
MARLIN ROCKWELL CORP                                                            	NYSE	Jun-38	n/a
MARLIN ROCKWELL CORP DE                                                         	NYSE	Jun-64	MRC
MARLTON TECHNOLOGIES INC                                                        	NYSE	Sep-05	MTY
Marlton Technologies, Inc.                                                      	AMEX	Dec-05	MTY
MARMON MTR CAR CO                                                               	NYSE	May-33	n/a
MARNETICS BROADBAND TECH LTD                                                    	AMEX	Mar-03	MXB
MARQUARDT CORP                                                                  	NYSE	Jun-68	MRQ
MARQUEE GROUP INC                                                               	AMEX	Mar-99	MRT
MARQUEST MEDICAL PRODUCTS INC                                                   	NASDAQ	Jul-97	MMPI
MARQUEST RESOURCES CORP                                                         	NASDAQ	May-86	MARL
MARQUETTE COMPANY                                                               	NYSE	Sep-76	MQC
MARQUETTE MEDICAL SYSTEMS INC                                                   	NASDAQ	Nov-98	MARQ
MARRIOTT INTERNATIONAL INC NEW                                                  	NYSE	May-98	MAR
MARRUD INC                                                                      	AMEX	Mar-67	MRU
MARS STORES INC                                                                 	NASDAQ	Feb-89	MXXX
MARSAM PHARMACEUTICALS INC                                                      	NASDAQ	Sep-95	MSAM
MARSHALL FIELD & CO DE                                                          	NYSE	Jun-82	MF
MARSHALL FOODS INC                                                              	AMEX	Dec-80	MFI
MARSHALL INDUSTRIES                                                             	NYSE	Oct-99	MI
MARSHALLTOWN FINANCIAL CORP                                                     	NASDAQ	Dec-97	MFCX
MARTECH USA INC                                                                 	NYSE	Apr-94	MUS
MARTEK INVESTORS INC                                                            	AMEX	Jan-83	STR
MARTEL MICRO SYS INC                                                            	NASDAQ	Sep-85	MRTL
MARTHA WHITE FOODS INC                                                          	NASDAQ	Nov-75	MRTH
MARTIN COLOR FI INC                                                             	NASDAQ	Dec-98	MRCF
MARTIN INDUSTRIES INC                                                           	NASDAQ	May-01	MTIN
MARTIN LAWRENCE LTD EDITIONS                                                    	NYSE	Aug-96	MLE
MARTIN MARIETTA ALUM INC                                                        	NYSE	Jun-74	MMA
MARTIN MARIETTA CORP NEW                                                        	NYSE	Mar-95	ML
MARTIN PROCESSING INC                                                           	AMEX	Jul-87	MPI
MARTINALL INDS INC                                                              	NYSE	Jan-61	n/a
MARTINEZ & MURPHEY VESTMT MKS IN                                                	NASDAQ	Jul-90	MTZM
MARUBENI CORP                                                                   	NASDAQ	May-84	MARTY
MARVA INDUSTRIES INC                                                            	NASDAQ	Feb-81	MARV
MARVEL ENTERTAINMENT GROUP INC                                                  	NYSE	Apr-98	MRV
MARY KAY COSMETICS INC                                                          	NYSE	Dec-85	MKY
MARYLAND CUP CORP                                                               	NYSE	Aug-83	MDC
MARYLAND FEDERAL BANCORP INC                                                    	NASDAQ	Sep-98	MFSL
MASCOTECH INC                                                                   	NYSE	Nov-00	MSX
MASCOTT CORP                                                                    	NASDAQ	May-95	DINE
MASLAND C H & SONS                                                              	AMEX	Jul-86	MLD
MASLAND CORP                                                                    	NASDAQ	Jul-96	MSLD
MASON DIXON BANCSHARES INC                                                      	NASDAQ	Jul-99	MSDX
MASONEILAN INTERNATIONAL INC                                                    	AMEX	May-77	MNI
MASONITE CORP                                                                   	NYSE	Apr-84	MNC
Masonite International Corporation                                              	NYSE	Apr-05	MHM
MASS MERCHANDISERS INC                                                          	NASDAQ	Aug-77	MMDS
MASS MERCHANDISERS INC IN                                                       	NYSE	Oct-85	MMS
MASS MICROSYSTEMS INC                                                           	NASDAQ	May-93	MMIC
MASSACHUSETTS GENERAL LF INS CO                                                 	NASDAQ	May-79	MASS
MASSMUTUAL INCOME INVS INC                                                      	NYSE	Apr-88	MIV
MASSMUTUAL MORTGAGE & RLTY INVS                                                 	NYSE	Jun-85	MML
MASSTOR SYSTEMS CORP                                                            	NASDAQ	Apr-93	MSCO
MAST KEYSTONE INC                                                               	NASDAQ	Feb-92	MKEY
MASTER ELEC CO                                                                  	NYSE	Jul-57	n/a
MASTER GLAZIERS KARATE INTL INC                                                 	NASDAQ	May-98	KICK
MASTER GRAPHICS INC                                                             	NASDAQ	Jan-00	MAGR
MASTERING INC                                                                   	NASDAQ	Apr-98	MASC
MASTERS ENERGY CORP                                                             	NASDAQ	Mar-86	MSTR
MASTERS INC                                                                     	AMEX	Jul-81	MSR
Matav-Cable Systems Media Ltd.                                                  	NASDAQ	Jun-06	MATV
MATERIALS RESEARCH CORP                                                         	AMEX	Sep-89	MTL
MATEWAN BANCSHARES INC                                                          	NASDAQ	Aug-99	MATE
MATHEMATICA INC                                                                 	NASDAQ	Jul-83	MATH
MATHEMATICAL APPLICATIONS GRP                                                   	NASDAQ	Feb-86	MAGC
MATLACK SYSTEMS INC                                                             	NYSE	Sep-00	MLK
MATRIX CORP NJ                                                                  	AMEX	Nov-88	MAX
MATRIX MEDICA INC                                                               	NASDAQ	Dec-88	MMII
MATRIX PHARMACEUTICAL INC                                                       	NASDAQ	Mar-02	MATX
MATRIX SCIENCE CORP                                                             	NASDAQ	Aug-88	MTRX
MatrixOne, Inc.                                                                 	NASDAQ	Nov-05	MONEE
MatrixOne, Inc.                                                                 	NASDAQ	May-06	MONE
MATTHEWS STUDIO EQUIPT GROUP                                                    	NASDAQ	Mar-00	MATT
MAUL BROTHERS INC                                                               	AMEX	Sep-77	MBS
MAUL TECHNOLOGY CORP                                                            	AMEX	Dec-81	MTY
MAULE INDUSTRIES INC                                                            	AMEX	Mar-76	MAU
MAURY FEDERAL SAVINGS BANK TN                                                   	NASDAQ	Apr-90	MFED
MAVERICK RESTAURANT CO                                                          	NASDAQ	Aug-92	MAVR
MAVESA S A                                                                      	NYSE	Mar-01	MAV
MAX INTERNET COMMUNICATIONS INC                                                 	NASDAQ	Nov-00	MXIP
MAXAM TECHNOLOGIES INC                                                          	NASDAQ	May-88	MAXM
MAXAXAM CORP                                                                    	NASDAQ	Sep-88	MXXM
Maxcor Financial Group Inc.                                                     	NASDAQ	May-05	MAXF
MAXICARE HEALTH PLANS INC                                                       	NASDAQ	May-01	MAXI
Maxim Pharmaceuticals, Inc.                                                     	NASDAQ	Jan-06	MAXM
MAXIS INC                                                                       	NASDAQ	Jul-97	MXIS
MAXON INDUSTRIES INC                                                            	NASDAQ	Oct-82	MAXN
MAXPHARMA INC                                                                   	AMEX	Sep-88	MXP
MAXSERV INC                                                                     	NASDAQ	Mar-97	MXSV
MAXSON ELECTRONICS CORP                                                         	AMEX	Mar-69	MX
MAXTOR CORP                                                                     	NASDAQ	Jan-96	MXTR
MAXTOR CORPORATION                                                              	NYSE	May-06	MXO
MAXUM HEALTH CORP                                                               	AMEX	Nov-93	MXH
MAXUS ENERGY CORP                                                               	NYSE	Jun-95	MXS
MAXWELL SHOE INC                                                                	NASDAQ	Jul-04	MAXS
MAXWORLDWIDE INC                                                                	NASDAQ	Aug-02	MAXW
MAXX PETROLEUM LTD                                                              	AMEX	Jun-01	MMX
MAXXAM GROUP INC                                                                	NYSE	May-88	MXM
MAXXIM MEDICAL INC                                                              	NYSE	Nov-99	MAM
MAXXIMA CORP                                                                    	NASDAQ	May-88	MAXX
MAXXUS INC                                                                      	NASDAQ	Jan-85	XXUS
MAY & SPEH INC                                                                  	NASDAQ	Sep-98	SPEH
MAY ENERGY PARTNERS LTD                                                         	AMEX	Mar-87	MEP
MAYBELLINE INC                                                                  	NYSE	Feb-96	MAY
MAYER OSCAR & CO INC DE                                                         	NYSE	May-81	OMC
MAYFAIR INDUSTRIES INC                                                          	NASDAQ	May-89	MAYF
MAYFAIR SUPER MARKETS INC                                                       	NASDAQ	Nov-89	MYFR
MAYFLOWER FINANCIAL CORP                                                        	NASDAQ	Dec-90	MFFC
MAYFLOWER GROUP INC                                                             	AMEX	Dec-86	MFL
MAYFLOWER GROUP INC IND                                                         	NASDAQ	Mar-95	MAYF
MAYMAC PETROLEUM CORP                                                           	NASDAQ	Aug-87	MAYMF
MAYNARD OIL CO                                                                  	NASDAQ	Jul-02	MOIL
Mayor's Jewelers, Inc.                                                          	AMEX	Nov-05	MYR
Maytag Corporation                                                              	NYSE	Mar-06	MPY
Maytag Corporation                                                              	NYSE	Mar-06	MYG
MBHI CAP TR I CM PR                                                             	AMEX	Jun-05	MBH-
MBIA Inc                                                                        	NYSE	Dec-04	MBD
MBIA, Inc.                                                                      	NYSE	Dec-05	MBE
MBNA Corporation                                                                	NYSE	Dec-05	KRB
MBNK CAP TR I 9.625 PR 2029                                                     	AMEX	Jan-05	MST-
MC CALL CORP                                                                    	NYSE	Jul-68	MLL
MC CRORY STORES CORP                                                            	NYSE	Apr-36	n/a
MC KESSON & ROBBINS INC                                                         	NYSE	Nov-38	n/a
MC KESSON & ROBBINS INC                                                         	NYSE	Jul-67	MCK
MC LELLAN STORES CO                                                             	NYSE	Jan-59	n/a
MC WOOD CORP                                                                    	AMEX	Mar-67	MWP
MCAFEE COM INC                                                                  	NASDAQ	Sep-02	MCAF
MCARTHUR GLEN REALTY CORP                                                       	NYSE	Jul-95	MCG
MCCAFFREY & MCCALL INC                                                          	NASDAQ	Mar-74	n/a
MCCARTHY COMPANY                                                                	NASDAQ	Jan-80	MCYC
MCCAW CELLULAR COMMS INC                                                        	NASDAQ	Sep-94	MCAWA
MCCLAIN INDUSTRIES INC                                                          	NASDAQ	Dec-02	MCCL
MCCORD CORP                                                                     	NYSE	Jan-78	MCR
MCCORMICK CAPITAL INC                                                           	NASDAQ	Jul-91	MKOR
MCCOY INDUSTRIES INC                                                            	NASDAQ	Sep-82	MCOY
MCCRORY CORP                                                                    	NYSE	Mar-76	MS
MCDANIEL AUSTIN CORP                                                            	NASDAQ	Jun-92	ASTN
MCDERMOTT INC                                                                   	NYSE	Mar-83	MDE
MCDERMOTT J RAY SA                                                              	NYSE	Jun-99	JRM
MCDONALD & CO INVTS INC                                                         	NYSE	Oct-98	MDD
MCDONNELL DOUGLAS CORP                                                          	NYSE	Jul-97	MD
MCDONOUGH COMPANY                                                               	NYSE	Jan-81	MDO
MCFADDIN VENTURES INC                                                           	AMEX	Jun-89	MV
MCFARLAND ENERGY INC                                                            	NASDAQ	Jul-97	MCFE
MCGAW INC                                                                       	NASDAQ	Mar-94	MGAW
MCGILL MANUFACTURING INC                                                        	NASDAQ	Feb-90	MGLL
MCGLEN INTERNET GROUP INC                                                       	NASDAQ	Apr-01	MIGS
MCGRAW EDISON CO                                                                	NYSE	May-85	MGR
MCGREGOR CORP                                                                   	NASDAQ	Mar-85	MCGR
MCGREGOR DONIGER INC                                                            	NASDAQ	May-79	MCDGA
MCI, Inc.                                                                       	NASDAQ	Jan-06	MCIP
MCINTOSH CORP                                                                   	AMEX	Jun-77	MAX
MCINTYRE MINES LTD                                                              	NASDAQ	Jan-89	MTYRF
MCKEE CORP                                                                      	NYSE	Nov-78	MKE
MCKEE ROBERT E INC                                                              	AMEX	Jan-73	MCK
MCKEON LIQUIDATING CO                                                           	AMEX	Oct-81	MKN
MCKESSON CORP                                                                   	NYSE	Nov-94	MCK
MCLAREN PERFORMANCE TECHS INC                                                   	NASDAQ	Dec-02	MCLN
MCLEAN INDUSTRIES INC                                                           	NYSE	May-69	MII
MCLEAN INDUSTRIES INC NEW                                                       	NYSE	Sep-88	MII
MCLEAN TRUCKING CO                                                              	NYSE	Sep-82	MLN
MCLEODUSA INC                                                                   	NASDAQ	Jan-02	MCLD
McLeodUSA Incorporated                                                          	NASDAQ	Jun-05	MCLD
McLeodUSA Incorporated                                                          	NASDAQ	Jun-05	MCLDO
MCLOUTH STEEL CORP                                                              	NASDAQ	Jan-83	MLXC
MCMORAN OIL & GAS CO                                                            	NYSE	Apr-81	MOX
MCNAUGHTON APPAREL GROUP INC                                                    	NASDAQ	Jun-01	MAGI
MCNEIL CORP                                                                     	NYSE	Aug-86	MME
MCQUAY INC NEW                                                                  	NASDAQ	Nov-84	MCQA
MCQUAY NORRIS MANUFACTURING CO                                                  	NYSE	Oct-69	MFG
MCRAE CONSOLIDATED OIL & GAS INC                                                	NASDAQ	Dec-83	MCOG
McRae Ind Cl B                                                                  	AMEX	Dec-05	MRIB
McRae Industries, Inc.                                                          	AMEX	Dec-05	MRI.A
McRae Industries, Inc.                                                          	AMEX	Dec-05	MRI.B
MCSI INC                                                                        	NASDAQ	Apr-03	MCSI
MCWHORTER TECHNOLOGIES INC                                                      	NYSE	Jul-00	MWT
MDC Partners Inc.                                                               	NASDAQ	Aug-05	MDCAE
MDL INFORMATION SYS INC                                                         	NASDAQ	Apr-97	MDLI
MDSI Mobile Data Solutions, Inc.                                                	NASDAQ	Sep-05	MDSI
MEAD CORP                                                                       	NYSE	Jan-02	MEA
MEAD JOHNSON & CO                                                               	AMEX	Dec-67	MJ
MEADOW GROUP INC                                                                	NASDAQ	Jan-92	MDOW
MEADOWBROOK INC                                                                 	NASDAQ	Aug-79	MDWB
