
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
A PEA IN THE POD INC                                                            	NASDAQ	Apr-95	APOD
A PLUS NETWORK INC                                                              	NASDAQ	Nov-96	ACOM
A R A SERVICES INC                                                              	NYSE	Dec-84	ARA
A R C O CHEMICAL CO                                                             	NYSE	Jul-98	RCM
A R I INDUSTRIES INC                                                            	NASDAQ	Nov-80	ARII
A R I NETWORK SERVICES INC                                                      	NASDAQ	Jul-01	ARIS
A R M FINANCIAL GROUP INC                                                       	NYSE	Aug-99	ARM
A R P CORP                                                                      	NASDAQ	Jan-77	ARPC
A R V ASSISTED LIVING INC                                                       	AMEX	Apr-03	SRS
A S A INTERNATIONAL LTD                                                         	NASDAQ	Nov-04	ASAA
A S D GROUP INC                                                                 	NASDAQ	Feb-99	ASDG
A S I SOLUTIONS INC                                                             	NASDAQ	May-01	ASIS
A S K CORP                                                                      	NASDAQ	Jan-91	ASKC
A S R INVESTMENTS CORP                                                          	AMEX	Mar-98	ASR
A S R PRODS CORP                                                                	NYSE	Apr-60	n/a
A S T RESEARCH INC                                                              	NASDAQ	Aug-97	ASTA
A T & E CORP                                                                    	AMEX	Jul-91	ATW
A T & T CANADA INC                                                              	NASDAQ	Oct-02	ATTC
A T & T CAPITAL CORP                                                            	NYSE	Oct-96	TCC
A T & T CORP                                                                    	NYSE	Jul-01	AWE
A T & T CORP                                                                    	NYSE	Aug-01	LMG
A T & T CORP                                                                    	NYSE	Aug-01	LMG
A T & T LATIN AMERICA CORP                                                      	NASDAQ	Jan-03	ATTL
A T & T WIRELESS SVCS INC                                                       	NYSE	Oct-04	AWE
A T A HOLDINGS CORP                                                             	NASDAQ	Nov-04	ATAH
A T C GROUP SERVICES INC                                                        	NASDAQ	Feb-98	ATCS
A T C II INC                                                                    	NASDAQ	Dec-94	ATCI
A T E ENTERPRISES INC                                                           	NASDAQ	Dec-86	ATEE
A T G INC                                                                       	NASDAQ	Nov-01	ATGC
A T I MEDICAL INC                                                               	AMEX	May-92	ATI
A T L PRODUCTS INC                                                              	NASDAQ	Sep-98	ATLPA
A T L ULTRASOUND INC                                                            	NASDAQ	Oct-98	ATLI
A T N N INC                                                                     	NASDAQ	May-92	ATNN
A T PLASTICS INC                                                                	AMEX	May-02	ATJ
A T S I COMMUNICATIONS INC                                                      	AMEX	Jan-03	AI
A T S MONEY SYSTEMS INC                                                         	NASDAQ	Feb-92	ATSM
A T V SYSTEMS INC                                                               	NASDAQ	Oct-84	ATVS
A T X COMMUNICATIONS INC                                                        	NASDAQ	Aug-02	COMM
A V C CORP                                                                      	AMEX	Apr-81	AVC
A V X CORP                                                                      	NYSE	Jan-90	AVX
A W COMPUTER SYSTEMS INC                                                        	NASDAQ	Aug-96	AWCSA
A X A FINANCIAL INC                                                             	NYSE	Jan-01	AXF
A Z C O MINING INC                                                              	AMEX	May-03	AZC
A Z L RESOURCES INC                                                             	AMEX	Dec-82	AZL
A4S Security Inc.                                                               	NASDAQ	Aug-05	SWATU
aaiPharma Inc.                                                                  	NASDAQ	Apr-05	AAII
aaiPharma Inc.                                                                  	NASDAQ	Apr-05	AAIIE
AAMES FINANCIAL CORP                                                            	NYSE	Nov-01	AAM
AARON BROS CORP                                                                 	NASDAQ	Sep-77	AARN
AARON BROTHERS ART MARTS INC                                                    	NASDAQ	Apr-88	AARN
AARONSON BROTHERS STORES CO                                                     	NASDAQ	Sep-80	ARON
AAVID THERMAL TECHNOLOGIES INC                                                  	NASDAQ	Feb-00	AATT
AB Electrolux                                                                   	NASDAQ	Mar-05	ELUX
AB Volvo                                                                        	NASDAQ	May-06	VOLVY
ABACAN RESOURCE CORP NEW                                                        	NASDAQ	Apr-99	ABACF
ABACUS DIRECT CORP                                                              	NASDAQ	Nov-99	ABDR
ABACUS FUND INC DE                                                              	NYSE	Mar-72	ABJ
